# Goal Position: [0.5, 0.1, 0.5]
# Goal Orientation: [0.70709, 9.8864e-05, 0.70712, -2.1146e-05]
# Goal Tolerance: 0.01
# Angular Tolerance: 0.05
# Num Joints: 7
# Planning Method: task_space
time_s,pos_x_m,pos_y_m,pos_z_m,q_x,q_y,q_z,q_w,vel_x_m_s,vel_y_m_s,vel_z_m_s,ang_vel_x_rad_s,ang_vel_y_rad_s,ang_vel_z_rad_s,min_obstacle_clearance_m,att_force_x_N,att_force_y_N,att_force_z_N,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_vel_1_rad_s,joint_vel_2_rad_s,joint_vel_3_rad_s,joint_vel_4_rad_s,joint_vel_5_rad_s,joint_vel_6_rad_s,joint_vel_7_rad_s,joint_torque_1_N_m,joint_torque_2_N_m,joint_torque_3_N_m,joint_torque_4_N_m,joint_torque_5_N_m,joint_torque_6_N_m,joint_torque_7_N_m
0.46,0.23668,0.0035841,0.300799,0.707163,4.83901e-05,0.707051,-0.0001038,0.0213535,0.00781866,0.0161538,-2.82278e-05,-3.02852e-05,-6.78293e-06,inf,0,0,0,0.013473,-0.0397859,0.0136624,0.024543,0.0269572,-1.50634,-0.00112198,-0.0271797,0.0775025,-0.0279916,-0.0543112,-0.0554709,-0.131777,0.00484381,0,0,0,0,0,0,0
0.48,0.237107,0.00374048,0.301122,0.707163,4.82386e-05,0.70705,-0.000103552,0.0213535,0.00781866,0.0161538,-2.82075e-05,-3.03761e-05,-6.69828e-06,inf,0,0,0,0.0140086,-0.0412944,0.0142148,0.0256388,0.0280514,-1.50373,-0.00122193,-0.0267835,0.0754248,-0.0276245,-0.0547886,-0.0547137,-0.130144,0.00499707,0,0,0,0,0,0,0
0.5,0.237534,0.00389685,0.301446,0.707163,4.80865e-05,0.70705,-0.000103305,0.0213535,0.00781866,0.0161538,-2.81875e-05,-3.04674e-05,-6.61368e-06,inf,0,0,0,0.0145462,-0.042808,0.0147701,0.0267356,0.0291511,-1.50112,-0.00132624,-0.0268785,0.0756763,-0.0277625,-0.0548407,-0.0549826,-0.130461,0.00521559,0,0,0,0,0,0,0
0.52,0.237961,0.00405322,0.301769,0.707164,4.7934e-05,0.70705,-0.000103059,0.0213535,0.00781866,0.0161538,-2.81678e-05,-3.05589e-05,-6.52915e-06,inf,0,0,0,0.015082,-0.0443122,0.0153244,0.027836,0.0302485,-1.49852,-0.00143444,-0.0267909,0.075211,-0.0277129,-0.0550224,-0.0548714,-0.130177,0.00540998,0,0,0,0,0,0,0
0.54,0.238388,0.0042096,0.302092,0.707164,4.77811e-05,0.70705,-0.000102814,0.0213535,0.00781866,0.0161538,-2.81483e-05,-3.06507e-05,-6.44468e-06,inf,0,0,0,0.0156154,-0.0458032,0.0158769,0.0289408,0.0313424,-1.49593,-0.0015464,-0.0266705,0.0745494,-0.0276297,-0.0552393,-0.0546926,-0.129727,0.00559799,0,0,0,0,0,0,0
0.56,0.238815,0.00436597,0.302415,0.707164,4.76276e-05,0.707049,-0.000102569,0.0213535,0.00781866,0.0161538,-2.81291e-05,-3.07428e-05,-6.36026e-06,inf,0,0,0,0.0161408,-0.0472528,0.016422,0.0300551,0.0324208,-1.49336,-0.00166115,-0.0262667,0.0724802,-0.0272536,-0.0557128,-0.0539203,-0.128097,0.0057379,0,0,0,0,0,0,0
0.58,0.239242,0.00452234,0.302738,0.707164,4.74738e-05,0.707049,-0.000102325,0.0213535,0.00781866,0.0161538,-2.81101e-05,-3.08352e-05,-6.2759e-06,inf,0,0,0,0.0166681,-0.0487078,0.01697,0.0311702,0.0335049,-1.49079,-0.00178027,-0.0263672,0.0727513,-0.0273985,-0.0557583,-0.0542053,-0.128426,0.00595572,0,0,0,0,0,0,0
0.6,0.239669,0.00467872,0.303061,0.707165,4.73194e-05,0.707049,-0.000102082,0.0213535,0.00781866,0.0161538,-2.80914e-05,-3.09278e-05,-6.1916e-06,inf,0,0,0,0.0171937,-0.0501539,0.017517,0.0322889,0.034587,-1.48823,-0.00190317,-0.0262822,0.072307,-0.0273519,-0.0559334,-0.0541028,-0.128155,0.00614527,0,0,0,0,0,0,0
0.62,0.240096,0.00483509,0.303384,0.707165,4.71646e-05,0.707049,-0.00010184,0.0213535,0.00781866,0.0161538,-2.80729e-05,-3.10207e-05,-6.10735e-06,inf,0,0,0,0.017717,-0.0515872,0.0180624,0.0334118,0.0356655,-1.48568,-0.00202972,-0.0261629,0.0716644,-0.0272699,-0.0561441,-0.0539291,-0.127717,0.0063275,0,0,0,0,0,0,0
0.64,0.240523,0.00499146,0.303707,0.707165,4.70094e-05,0.707049,-0.000101598,0.0213535,0.00781866,0.0161538,-2.80547e-05,-3.11139e-05,-6.02316e-06,inf,0,0,0,0.0182377,-0.0530066,0.0186061,0.0345391,0.0367404,-1.48313,-0.00215986,-0.0260372,0.0709695,-0.0271815,-0.0563638,-0.0537427,-0.127235,0.00650692,0,0,0,0,0,0,0
