# Goal Position: [0.5, 0.1, 0.5]
# Goal Orientation: [0.70709, 9.8864e-05, 0.70712, -2.1146e-05]
# Goal Tolerance: 0.01
# Angular Tolerance: 0.05
# Num Joints: 7
# Planning Method: task_space
time_s,pos_x_m,pos_y_m,pos_z_m,q_x,q_y,q_z,q_w,vel_x_m_s,vel_y_m_s,vel_z_m_s,ang_vel_x_rad_s,ang_vel_y_rad_s,ang_vel_z_rad_s,min_obstacle_clearance_m,att_force_x_N,att_force_y_N,att_force_z_N,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_vel_1_rad_s,joint_vel_2_rad_s,joint_vel_3_rad_s,joint_vel_4_rad_s,joint_vel_5_rad_s,joint_vel_6_rad_s,joint_vel_7_rad_s,joint_torque_1_N_m,joint_torque_2_N_m,joint_torque_3_N_m,joint_torque_4_N_m,joint_torque_5_N_m,joint_torque_6_N_m,joint_torque_7_N_m
0.44,0.236248,0.00338815,0.300491,0.707066,1.55443e-08,0.707148,-4.88432e-05,0.0213196,0.00780935,0.0161268,-2.68684e-05,1.10377e-05,1.51326e-05,0.293767,0.791255,0.289836,0.598527,0.0128366,-0.0381038,0.0130086,0.0235186,0.0258075,-1.50932,-0.00103515,-0.0272934,0.0780864,-0.0280641,-0.0539966,-0.0556327,-0.132011,0.00462532,0,0,0,0,0,0,0
0.46,0.236675,0.00354434,0.300814,0.707066,-2.81458e-07,0.707148,-4.87602e-05,0.0213815,0.00783203,0.0161736,-2.69139e-05,1.10708e-05,1.52133e-05,0.293343,0.789976,0.289367,0.597559,0.0133812,-0.0396537,0.0135694,0.0246066,0.0269187,-1.50668,-0.00113175,-0.0272269,0.0774991,-0.0280361,-0.054401,-0.0555594,-0.131821,0.00482986,0,0,0,0,0,0,0
0.48,0.237102,0.00370098,0.301137,0.707066,-5.79352e-07,0.707148,-4.86775e-05,0.0213288,0.00781272,0.0161337,-2.69597e-05,1.11041e-05,1.52941e-05,0.292918,0.788693,0.288897,0.596589,0.0139169,-0.0411607,0.0141218,0.0257011,0.0280128,-1.50408,-0.00123123,-0.0267843,0.0753456,-0.0276213,-0.0547231,-0.0547086,-0.129959,0.00497388,0,0,0,0,0,0,0
0.5,0.237529,0.00385723,0.30146,0.707066,-8.78142e-07,0.707148,-4.8595e-05,0.0213741,0.00782929,0.0161679,-2.70057e-05,1.11374e-05,1.53751e-05,0.292494,0.787413,0.288428,0.595621,0.0144552,-0.0426739,0.0146778,0.0267993,0.029114,-1.50147,-0.00133524,-0.0269186,0.0756613,-0.0277998,-0.0549088,-0.0550569,-0.130472,0.00520072,0,0,0,0,0,0,0
0.52,0.237956,0.00401382,0.301783,0.707065,-1.17783e-06,0.707148,-4.85128e-05,0.0213355,0.00781516,0.0161387,-2.70519e-05,1.11709e-05,1.54561e-05,0.29207,0.786131,0.287959,0.594651,0.0149912,-0.0441767,0.0152321,0.0278988,0.0302116,-1.49887,-0.001443,-0.0267979,0.0751419,-0.0277158,-0.0549763,-0.0548785,-0.13002,0.00538795,0,0,0,0,0,0,0
0.54,0.238383,0.00417012,0.302106,0.707065,-1.47842e-06,0.707148,-4.84308e-05,0.0213686,0.00782727,0.0161638,-2.70984e-05,1.12045e-05,1.55374e-05,0.291647,0.784851,0.28749,0.593682,0.0155253,-0.0456673,0.0157853,0.0290046,0.0313067,-1.49628,-0.00155465,-0.0267058,0.0745267,-0.0276619,-0.0552913,-0.0547571,-0.129713,0.00558247,0,0,0,0,0,0,0
0.56,0.238811,0.00432666,0.302429,0.707065,-1.77991e-06,0.707148,-4.83491e-05,0.0213403,0.00781694,0.0161424,-2.71452e-05,1.12381e-05,1.56187e-05,0.291224,0.783568,0.28702,0.592713,0.0160509,-0.0471157,0.0163306,0.0301182,0.0323854,-1.49372,-0.00166898,-0.0262779,0.0724203,-0.0272607,-0.0556805,-0.0539358,-0.127963,0.0057167,0,0,0,0,0,0,0
0.58,0.239237,0.004483,0.302752,0.707065,-2.0823e-06,0.707148,-4.82676e-05,0.0213645,0.00782579,0.0161607,-2.71922e-05,1.12719e-05,1.57002e-05,0.290802,0.782288,0.286551,0.591744,0.0165788,-0.0485701,0.0168791,0.0312342,0.0334707,-1.49115,-0.00178777,-0.0263988,0.072723,-0.0274267,-0.0557984,-0.0542621,-0.128395,0.00593964,0,0,0,0,0,0,0
0.6,0.239665,0.00463952,0.303075,0.707065,-2.38561e-06,0.707148,-4.81864e-05,0.0213439,0.00781823,0.0161451,-2.72394e-05,1.13057e-05,1.57819e-05,0.29038,0.781006,0.286081,0.590774,0.0171048,-0.0500152,0.0174263,0.0323524,0.0345531,-1.48859,-0.00191027,-0.0262966,0.0722517,-0.0273621,-0.0559117,-0.0541245,-0.128036,0.00612487,0,0,0,0,0,0,0
0.62,0.240091,0.00479588,0.303398,0.707065,-2.68983e-06,0.707148,-4.81054e-05,0.0213615,0.0078247,0.0161585,-2.72869e-05,1.13397e-05,1.58637e-05,0.289959,0.779726,0.285612,0.589806,0.0176286,-0.0514478,0.0179722,0.033476,0.0356328,-1.48604,-0.00203649,-0.0261919,0.0716322,-0.0272954,-0.0561755,-0.0539806,-0.127673,0.00631106,0,0,0,0,0,0,0
0.64,0.240519,0.00495238,0.303721,0.707065,-2.99496e-06,0.707149,-4.80246e-05,0.0213465,0.00781917,0.016147,-2.73346e-05,1.13738e-05,1.59456e-05,0.289538,0.778444,0.285143,0.588836,0.018144,-0.0528388,0.0185102,0.0346079,0.0366961,-1.48352,-0.00216518,-0.0257677,0.0695522,-0.0268966,-0.0565998,-0.0531662,-0.125983,0.00643409,0,0,0,0,0,0,0
0.66,0.240946,0.00510876,0.304044,0.707065,-3.301e-06,0.707149,-4.79441e-05,0.0213594,0.00782391,0.0161568,-2.73826e-05,1.14079e-05,1.60277e-05,0.289117,0.777163,0.284674,0.587867,0.0186617,-0.054236,0.0190514,0.0357415,0.0377659,-1.48099,-0.00229827,-0.0258847,0.0698588,-0.0270599,-0.056678,-0.0534898,-0.126379,0.00665473,0,0,0,0,0,0,0
0.68,0.241373,0.00526524,0.304367,0.707065,-3.60797e-06,0.707149,-4.78638e-05,0.0213483,0.00781986,0.0161485,-2.74308e-05,1.14422e-05,1.61099e-05,0.288697,0.775882,0.284204,0.586898,0.0191775,-0.0556245,0.0195915,0.0368778,0.0388334,-1.47847,-0.00243501,-0.0257937,0.0694225,-0.0270072,-0.056813,-0.053378,-0.126076,0.00683721,0,0,0,0,0,0,0
0.7,0.2418,0.00542164,0.30469,0.707065,-3.91586e-06,0.707149,-4.77838e-05,0.0213578,0.00782332,0.0161556,-2.74793e-05,1.14766e-05,1.61922e-05,0.288277,0.774601,0.283735,0.585929,0.0196912,-0.0570007,0.0201302,0.0380187,0.0398979,-1.47595,-0.00257534,-0.0256833,0.0688105,-0.0269346,-0.0570464,-0.0532251,-0.12569,0.0070163,0,0,0,0,0,0,0
0.72,0.242227,0.0055781,0.305013,0.707065,-4.22467e-06,0.707149,-4.7704e-05,0.0213497,0.00782037,0.0161495,-2.7528e-05,1.15111e-05,1.62747e-05,0.287858,0.773319,0.283266,0.58496,0.0202022,-0.0583632,0.020667,0.0391634,0.0409585,-1.47345,-0.0027191,-0.025552,0.0681238,-0.0268402,-0.0572357,-0.0530296,-0.125185,0.00718802,0,0,0,0,0,0,0
0.74,0.242654,0.00573451,0.305336,0.707065,-4.53442e-06,0.707149,-4.76244e-05,0.0213566,0.0078229,0.0161547,-2.75769e-05,1.15456e-05,1.63574e-05,0.287439,0.772038,0.282796,0.583991,0.020705,-0.0596847,0.021196,0.0403179,0.0420032,-1.47098,-0.00286509,-0.0251383,0.0660792,-0.0264506,-0.0577224,-0.0522356,-0.12359,0.00729967,0,0,0,0,0,0,0
0.76,0.243081,0.00589097,0.305659,0.707065,-4.84509e-06,0.707149,-4.75451e-05,0.0213507,0.00782073,0.0161503,-2.76261e-05,1.15803e-05,1.64402e-05,0.287021,0.770757,0.282327,0.583022,0.0212099,-0.0610123,0.0217281,0.0414726,0.0430541,-1.4685,-0.0030154,-0.025245,0.0663755,-0.0266046,-0.0577379,-0.0525441,-0.123913,0.00751539,0,0,0,0,0,0,0
0.78,0.243508,0.00604738,0.305982,0.707064,-5.1567e-06,0.707149,-4.7466e-05,0.0213558,0.00782258,0.0161541,-2.76756e-05,1.16151e-05,1.65231e-05,0.286603,0.769476,0.281858,0.582053,0.0217133,-0.0623318,0.0222595,0.0426309,0.0441035,-1.46603,-0.00316933,-0.0251698,0.0659789,-0.0265687,-0.0579149,-0.0524681,-0.12369,0.00769639,0,0,0,0,0,0,0
